Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10956074,hyd,"2023-12-20 14:57:15",5.4030,2,hydantess
2,10946503,https://shorturl.at/LKhAD,"2023-12-20 18:24:47",5.4041,2,yuanzhezhou
3,10964413,(⊙﹏⊙)Rib~,"2023-12-20 13:39:34",5.4172,2,"dc5e964768ef56302a32,wht1996"
4,10952283,M,"2023-12-20 19:46:20",5.4261,1,mathurinache
5,10957058,"Yusef + Ivan + Adam('s GPU)","2023-12-20 14:24:59",5.4270,2,"agreenyy,ibazhov,stefanfrench,yusefkaggle"
6,11043506,"Daniel FG","2023-12-19 12:51:18",5.4285,2,danielfg
7,11049999,NimaShahbazi,"2023-12-18 20:18:55",5.4300,2,nimashahbazi
8,10974917,"Stay hungry, Stay foolish","2023-12-18 23:38:59",5.4301,2,winforever
9,10945723,ADAM.,"2023-12-20 14:23:43",5.4352,2,hookman
10,10944891,HAO,"2023-12-20 16:52:51",5.4379,2,lihaorocky
11,11028684,WLY,"2023-12-20 02:45:04",5.4434,1,"dastroke,sparkle28,yangq369"
12,10951111,Fangli,"2023-12-17 05:39:23",5.4447,2,"fangliliu,iris0415"
13,11123288,"TH & Ethan","2023-12-20 21:04:55",5.4456,2,"chenxin1991,ilovearsenal"
14,10945759,"Clash Royale","2023-12-18 08:38:18",5.4457,2,"cody11null,madarshbb,mcpenguin,ravi20076,yeoyunsianggeremie"
15,10999530,"O Yuksel","2023-12-19 17:03:29",5.4465,2,lognorm
16,10945145,at7459,"2023-12-14 18:18:44",5.4469,2,at7459
17,10963957,shshs,"2023-12-19 06:31:48",5.4472,1,"diyartulenov,peachypeachy"
18,10981382,tangrongshan,"2023-12-20 16:18:04",5.4476,2,tangrongshan
19,10954295,"JunWei Yang","2023-12-20 08:44:36",5.4481,2,a27182818
20,11036868,"Andrea Pranzo","2023-12-18 14:28:10",5.4488,2,andrealunch
21,11120180,"Devin Anzelmo","2023-12-11 20:03:20",5.4507,2,devinanzelmo
22,10946533,zzy,"2023-12-20 09:54:59",5.4517,2,zzy990106
23,10949144,WindClimber,"2023-12-19 22:50:37",5.4527,2,fengpan23
24,11340009,"Manuel Campos","2023-12-20 15:27:23",5.4527,2,coreacasa
25,11025658,aga,"2023-12-20 13:36:39",5.4531,2,"aerdem4,gunesevitan,nlztrk"
26,10946361,"Jacoby Jaeger","2023-12-17 09:13:09",5.4543,1,jacobyjaeger
27,11061994,Siddhartha,"2023-12-19 18:25:06",5.4558,2,meaninglesslives
28,11028189,"K Y","2023-12-19 23:06:22",5.4558,2,"jihoonchung,yuuniekiri"
29,11072826,"Shaking at the Close","2023-12-19 15:33:55",5.4567,1,"kingychiu,tangtunyu,wimwim"
30,11049787,"Hang in there","2023-12-20 19:53:54",5.4567,2,"chellyfan,unknownkid,wuhongrui"
31,11339801,silverthorns,"2023-12-20 09:58:09",5.4575,2,yinanzhu
32,10953488,pipixia,"2023-12-20 18:04:42",5.4578,2,gmw2088
33,11084010,Ravox,"2023-12-20 07:20:37",5.4579,2,ravoxsg
34,10947396,leo,"2023-11-29 00:35:07",5.4581,1,calibrator
35,11206452,nmnc,"2023-12-20 14:21:15",5.4584,2,menocineto
36,11254491,iitp,"2023-12-20 18:27:11",5.4593,2,"arsenypoyda,chemrovkirill"
37,10952055,不知名初创私募,"2023-12-20 02:20:26",5.4596,2,"hisato739,hznnnn,kirapro,s1haotang,yangyijie123456"
38,10993315,theta,"2023-12-19 09:13:46",5.4596,2,yurimaeda
39,11173964,"Back to the future","2023-12-10 23:24:24",5.4600,2,"demery,huntersjm,ljjsfe"
40,11009230,ARMADA,"2023-12-20 00:04:04",5.4605,2,fadylabib
41,10948482,Tapioca,"2023-12-20 22:20:26",5.4605,2,tapioca
42,10971811,Xueqiao.zsy,"2023-12-20 20:47:45",5.4605,2,saladcat
